Age,Annual_Income_LPA,Loan_Amount_LPA,Loan_Term_Months,CIBIL_Score,Employment_Years,Existing_Loans,Education,Employment_Type,Property_Area,Gender,Dependents,Default,Loan_to_Income_Ratio,CIBIL_Band,LTI_Band
22,2.66,3.8,36,688,6,2,Graduate,Salaried,Urban,Male,1,1,1.429,"670-740
(Very Good)",1-1.5x
32,4.96,2.78,36,658,8,0,Graduate,Self-Employed,Rural,Male,2,0,0.56,"580-670
(Good)",<1x
49,3.85,5.88,36,781,0,1,Graduate,Business,Semi-Urban,Female,2,0,1.527,"740-800
(Excellent)",1.5-2x
46,5.95,19.08,12,810,0,0,Post-Graduate,Self-Employed,Rural,Male,0,0,3.207,"800+
(Exceptional)",>3x
44,2.31,5.34,24,646,18,0,Post-Graduate,Freelance,Semi-Urban,Female,1,0,2.312,"580-670
(Good)",2-2.5x
52,8.42,14.47,12,673,5,0,Graduate,Salaried,Rural,Male,2,0,1.719,"670-740
(Very Good)",1.5-2x
51,4.1,7.38,60,706,17,1,Graduate,Salaried,Urban,Male,0,0,1.8,"670-740
(Very Good)",1.5-2x
56,10.9,5.5,60,849,9,3,Graduate,Self-Employed,Semi-Urban,Female,2,0,0.505,"800+
(Exceptional)",<1x
28,5.08,7.87,36,765,10,0,Post-Graduate,Salaried,Urban,Male,0,0,1.549,"740-800
(Excellent)",1.5-2x
37,5.91,16.33,48,614,0,0,Post-Graduate,Salaried,Semi-Urban,Female,2,0,2.763,"580-670
(Good)",2.5-3x
47,5.41,21.15,36,712,0,2,Graduate,Salaried,Semi-Urban,Male,1,0,3.909,"670-740
(Very Good)",>3x
23,3.97,13.75,48,700,12,0,Graduate,Salaried,Urban,Female,1,0,3.463,"670-740
(Very Good)",>3x
22,26.45,15.41,48,626,4,2,Graduate,Salaried,Rural,Male,2,1,0.583,"580-670
(Good)",<1x
33,4.46,16.26,60,711,19,1,Graduate,Salaried,Rural,Male,0,0,3.646,"670-740
(Very Good)",>3x
26,11.09,35.94,36,696,0,3,Post-Graduate,Salaried,Urban,Female,0,0,3.241,"670-740
(Very Good)",>3x
58,3.11,10.05,48,691,19,1,Graduate,Self-Employed,Semi-Urban,Female,1,0,3.232,"670-740
(Very Good)",>3x
53,7.5,15.77,24,687,2,1,Graduate,Salaried,Urban,Male,2,0,2.103,"670-740
(Very Good)",2-2.5x
30,8.0,15.14,60,837,17,1,Graduate,Salaried,Urban,Male,0,0,1.892,"800+
(Exceptional)",1.5-2x
56,5.91,9.22,12,690,8,1,Diploma,Salaried,Rural,Male,2,0,1.56,"670-740
(Very Good)",1.5-2x
40,4.26,3.11,36,723,13,1,Under-Graduate,Salaried,Urban,Male,1,0,0.73,"670-740
(Very Good)",<1x
37,5.12,6.65,48,715,16,0,Graduate,Self-Employed,Rural,Female,0,0,1.299,"670-740
(Very Good)",1-1.5x
24,4.71,6.42,48,679,13,1,Graduate,Business,Urban,Female,2,0,1.363,"670-740
(Very Good)",1-1.5x
41,25.35,55.62,24,726,3,1,Graduate,Self-Employed,Semi-Urban,Male,0,0,2.194,"670-740
(Very Good)",2-2.5x
45,5.92,18.45,60,725,4,2,Post-Graduate,Salaried,Semi-Urban,Male,1,1,3.117,"670-740
(Very Good)",>3x
54,8.22,17.74,24,726,16,1,Graduate,Self-Employed,Urban,Female,0,0,2.158,"670-740
(Very Good)",2-2.5x
45,17.47,12.27,36,651,1,1,Post-Graduate,Self-Employed,Urban,Male,1,0,0.702,"580-670
(Good)",<1x
32,3.55,13.68,24,703,4,0,Post-Graduate,Salaried,Rural,Female,1,1,3.854,"670-740
(Very Good)",>3x
29,6.14,23.33,36,780,3,1,Under-Graduate,Salaried,Semi-Urban,Male,1,0,3.8,"740-800
(Excellent)",>3x
57,5.11,16.6,36,705,3,1,Graduate,Salaried,Urban,Male,1,0,3.249,"670-740
(Very Good)",>3x
59,5.7,22.63,36,732,5,2,Under-Graduate,Self-Employed,Semi-Urban,Male,1,0,3.97,"670-740
(Very Good)",>3x
61,5.39,12.97,24,733,19,2,Under-Graduate,Self-Employed,Urban,Female,0,0,2.406,"670-740
(Very Good)",2-2.5x
41,3.87,14.98,24,753,12,0,Graduate,Salaried,Urban,Male,1,0,3.871,"740-800
(Excellent)",>3x
56,6.75,5.16,36,764,4,2,Graduate,Self-Employed,Semi-Urban,Male,3,0,0.764,"740-800
(Excellent)",<1x
46,3.17,5.64,48,706,6,0,Graduate,Salaried,Urban,Female,2,1,1.779,"670-740
(Very Good)",1.5-2x
56,10.86,14.0,48,647,19,0,Graduate,Salaried,Rural,Male,0,0,1.289,"580-670
(Good)",1-1.5x
46,8.72,10.34,12,622,0,1,Graduate,Freelance,Semi-Urban,Male,0,0,1.186,"580-670
(Good)",1-1.5x
50,4.46,4.43,36,801,13,0,Post-Graduate,Freelance,Rural,Male,3,0,0.993,"800+
(Exceptional)",<1x
39,4.59,12.29,24,781,3,1,Graduate,Salaried,Semi-Urban,Male,1,0,2.678,"740-800
(Excellent)",2.5-3x
39,7.08,22.9,12,771,16,0,Diploma,Salaried,Rural,Female,1,0,3.234,"740-800
(Excellent)",>3x
23,3.72,9.39,48,784,13,0,Graduate,Salaried,Semi-Urban,Female,2,0,2.524,"740-800
(Excellent)",2.5-3x
56,17.8,18.06,36,707,15,1,Diploma,Salaried,Semi-Urban,Male,0,0,1.015,"670-740
(Very Good)",1-1.5x
37,7.44,24.84,24,670,13,1,Graduate,Business,Rural,Female,1,1,3.339,"580-670
(Good)",>3x
57,7.6,20.72,24,641,15,2,Under-Graduate,Freelance,Semi-Urban,Male,3,0,2.726,"580-670
(Good)",2.5-3x
54,9.03,16.78,12,632,19,1,Graduate,Self-Employed,Urban,Female,2,0,1.858,"580-670
(Good)",1.5-2x
25,4.24,12.12,48,816,7,1,Graduate,Salaried,Semi-Urban,Male,0,0,2.858,"800+
(Exceptional)",2.5-3x
54,11.53,16.25,60,680,2,0,Under-Graduate,Self-Employed,Rural,Male,0,0,1.409,"670-740
(Very Good)",1-1.5x
35,6.43,10.98,24,804,18,0,Graduate,Salaried,Semi-Urban,Male,0,0,1.708,"800+
(Exceptional)",1.5-2x
42,10.61,39.38,24,705,0,0,Post-Graduate,Business,Semi-Urban,Male,2,0,3.712,"670-740
(Very Good)",>3x
41,5.33,8.08,48,665,1,1,Post-Graduate,Business,Semi-Urban,Male,0,0,1.516,"580-670
(Good)",1.5-2x
29,13.23,28.38,60,632,14,1,Post-Graduate,Self-Employed,Rural,Male,0,0,2.145,"580-670
(Good)",2-2.5x
28,7.63,27.59,36,672,9,1,Post-Graduate,Salaried,Urban,Female,3,0,3.616,"670-740
(Very Good)",>3x
24,22.23,66.18,12,833,17,1,Under-Graduate,Salaried,Semi-Urban,Male,0,0,2.977,"800+
(Exceptional)",2.5-3x
38,4.81,3.45,12,633,13,1,Graduate,Salaried,Urban,Female,0,0,0.717,"580-670
(Good)",<1x
54,6.78,6.89,36,889,16,0,Post-Graduate,Business,Semi-Urban,Male,0,0,1.016,"800+
(Exceptional)",1-1.5x
33,3.23,1.7,36,652,12,0,Under-Graduate,Salaried,Semi-Urban,Female,0,0,0.526,"580-670
(Good)",<1x
43,4.37,11.83,12,779,0,2,Graduate,Salaried,Urban,Female,1,0,2.707,"740-800
(Excellent)",2.5-3x
43,8.7,17.98,36,708,4,1,Graduate,Salaried,Urban,Female,3,0,2.067,"670-740
(Very Good)",2-2.5x
51,11.81,11.46,12,694,12,2,Under-Graduate,Business,Semi-Urban,Female,2,0,0.97,"670-740
(Very Good)",<1x
59,35.54,136.93,48,618,13,0,Graduate,Salaried,Urban,Female,1,0,3.853,"580-670
(Good)",>3x
59,5.66,13.32,36,712,2,3,Graduate,Business,Urban,Male,1,0,2.353,"670-740
(Very Good)",2-2.5x
29,3.43,4.62,12,627,14,0,Graduate,Business,Rural,Male,1,0,1.347,"580-670
(Good)",1-1.5x
48,9.43,21.24,36,585,18,0,Post-Graduate,Freelance,Urban,Male,0,0,2.252,"580-670
(Good)",2-2.5x
48,3.05,8.78,36,729,16,3,Graduate,Salaried,Semi-Urban,Male,0,0,2.879,"670-740
(Very Good)",2.5-3x
55,8.42,6.46,60,669,2,0,Post-Graduate,Salaried,Rural,Male,3,0,0.767,"580-670
(Good)",<1x
42,4.44,6.49,36,854,15,1,Under-Graduate,Salaried,Urban,Female,0,0,1.462,"800+
(Exceptional)",1-1.5x
51,6.81,22.64,24,800,13,0,Graduate,Salaried,Urban,Male,0,0,3.325,"740-800
(Excellent)",>3x
54,11.55,24.36,48,855,11,1,Post-Graduate,Salaried,Semi-Urban,Male,1,0,2.109,"800+
(Exceptional)",2-2.5x
49,5.61,13.54,24,665,11,2,Diploma,Self-Employed,Semi-Urban,Male,1,0,2.414,"580-670
(Good)",2-2.5x
54,10.5,21.16,60,730,10,0,Post-Graduate,Salaried,Rural,Female,0,0,2.015,"670-740
(Very Good)",2-2.5x
26,10.13,6.62,36,510,16,1,Under-Graduate,Business,Rural,Male,0,0,0.654,"500-580
(Fair)",<1x
40,1.96,2.12,36,697,7,0,Graduate,Salaried,Semi-Urban,Male,1,0,1.082,"670-740
(Very Good)",1-1.5x
25,3.49,7.19,12,727,16,1,Under-Graduate,Self-Employed,Urban,Male,2,0,2.06,"670-740
(Very Good)",2-2.5x
56,2.35,2.9,36,732,19,0,Graduate,Business,Urban,Female,0,0,1.234,"670-740
(Very Good)",1-1.5x
38,19.94,13.46,48,716,10,0,Graduate,Business,Urban,Female,1,0,0.675,"670-740
(Very Good)",<1x
49,5.63,19.44,48,725,1,0,Graduate,Business,Urban,Female,1,0,3.453,"670-740
(Very Good)",>3x
51,17.47,68.73,24,502,9,0,Graduate,Self-Employed,Semi-Urban,Female,2,0,3.934,"500-580
(Fair)",>3x
50,2.25,7.37,24,740,9,2,Under-Graduate,Business,Semi-Urban,Male,0,0,3.276,"670-740
(Very Good)",>3x
27,4.26,14.86,48,758,10,0,Graduate,Salaried,Urban,Female,0,0,3.488,"740-800
(Excellent)",>3x
56,9.7,13.07,60,827,5,0,Post-Graduate,Salaried,Rural,Male,1,0,1.347,"800+
(Exceptional)",1-1.5x
58,6.68,25.8,12,749,3,1,Under-Graduate,Salaried,Urban,Male,2,0,3.862,"740-800
(Excellent)",>3x
45,8.26,9.82,36,709,11,0,Post-Graduate,Salaried,Urban,Male,0,0,1.189,"670-740
(Very Good)",1-1.5x
50,2.83,10.84,36,808,10,1,Graduate,Salaried,Semi-Urban,Male,1,0,3.83,"800+
(Exceptional)",>3x
52,13.71,54.59,48,531,12,3,Post-Graduate,Salaried,Urban,Female,0,1,3.982,"500-580
(Fair)",>3x
56,9.56,28.59,12,678,4,1,Graduate,Salaried,Urban,Male,0,0,2.991,"670-740
(Very Good)",2.5-3x
54,7.63,30.02,24,658,5,2,Graduate,Salaried,Urban,Female,1,0,3.934,"580-670
(Good)",>3x
42,3.98,9.92,48,717,0,1,Diploma,Salaried,Urban,Male,0,1,2.492,"670-740
(Very Good)",2-2.5x
53,7.29,10.27,12,544,5,0,Graduate,Business,Semi-Urban,Male,2,0,1.409,"500-580
(Fair)",1-1.5x
44,5.04,10.23,36,825,17,1,Graduate,Salaried,Rural,Male,1,0,2.03,"800+
(Exceptional)",2-2.5x
54,2.23,5.75,36,700,8,1,Under-Graduate,Self-Employed,Urban,Female,1,0,2.578,"670-740
(Very Good)",2.5-3x
24,5.82,4.4,36,745,14,1,Graduate,Salaried,Urban,Female,1,0,0.756,"740-800
(Excellent)",<1x
39,5.46,14.62,36,737,7,2,Post-Graduate,Business,Semi-Urban,Male,1,0,2.678,"670-740
(Very Good)",2.5-3x
46,11.35,44.65,36,820,18,1,Graduate,Business,Rural,Male,0,0,3.934,"800+
(Exceptional)",>3x
52,1.57,1.83,24,571,15,2,Graduate,Self-Employed,Urban,Male,2,0,1.166,"500-580
(Fair)",1-1.5x
24,6.91,22.62,36,728,5,2,Graduate,Self-Employed,Urban,Female,3,0,3.274,"670-740
(Very Good)",>3x
61,3.0,11.03,48,811,5,1,Graduate,Salaried,Semi-Urban,Female,0,0,3.677,"800+
(Exceptional)",>3x
45,7.27,27.65,48,712,2,1,Graduate,Freelance,Semi-Urban,Male,0,0,3.803,"670-740
(Very Good)",>3x
53,7.51,28.99,24,643,9,0,Under-Graduate,Business,Urban,Female,0,0,3.86,"580-670
(Good)",>3x
43,5.7,13.25,24,671,0,3,Post-Graduate,Business,Semi-Urban,Male,2,0,2.325,"670-740
(Very Good)",2-2.5x
44,9.74,38.19,24,688,13,1,Diploma,Self-Employed,Urban,Male,2,0,3.921,"670-740
(Very Good)",>3x
23,2.84,8.95,36,662,3,0,Graduate,Salaried,Semi-Urban,Female,2,0,3.151,"580-670
(Good)",>3x
48,11.66,12.43,36,707,11,0,Post-Graduate,Business,Semi-Urban,Male,2,0,1.066,"670-740
(Very Good)",1-1.5x
23,3.92,8.5,48,840,5,1,Post-Graduate,Salaried,Rural,Male,1,0,2.168,"800+
(Exceptional)",2-2.5x
47,2.36,7.11,12,672,10,0,Diploma,Self-Employed,Semi-Urban,Male,1,0,3.013,"670-740
(Very Good)",>3x
38,5.1,6.97,12,680,11,0,Graduate,Salaried,Urban,Male,2,0,1.367,"670-740
(Very Good)",1-1.5x
61,1.71,4.69,36,756,9,1,Post-Graduate,Business,Urban,Female,1,0,2.743,"740-800
(Excellent)",2.5-3x
54,6.99,19.8,48,706,17,0,Under-Graduate,Salaried,Rural,Male,1,0,2.833,"670-740
(Very Good)",2.5-3x
30,5.14,5.5,24,613,6,1,Graduate,Salaried,Urban,Female,1,0,1.07,"580-670
(Good)",1-1.5x
60,12.58,31.17,36,715,6,0,Under-Graduate,Self-Employed,Urban,Male,1,0,2.478,"670-740
(Very Good)",2-2.5x
50,8.86,28.36,24,712,10,0,Graduate,Business,Urban,Male,1,0,3.201,"670-740
(Very Good)",>3x
47,2.6,5.84,48,798,3,1,Under-Graduate,Self-Employed,Semi-Urban,Male,1,0,2.246,"740-800
(Excellent)",2-2.5x
56,3.63,1.97,48,642,19,1,Diploma,Salaried,Semi-Urban,Male,2,0,0.543,"580-670
(Good)",<1x
46,8.2,4.36,24,798,0,0,Post-Graduate,Salaried,Urban,Female,1,0,0.532,"740-800
(Excellent)",<1x
45,9.97,17.44,24,712,12,0,Graduate,Business,Urban,Female,1,0,1.749,"670-740
(Very Good)",1.5-2x
34,12.49,46.73,36,631,17,1,Graduate,Freelance,Rural,Male,2,0,3.741,"580-670
(Good)",>3x
28,12.43,16.16,24,615,8,0,Diploma,Business,Semi-Urban,Female,1,0,1.3,"580-670
(Good)",1-1.5x
57,5.69,15.48,48,874,8,0,Post-Graduate,Salaried,Semi-Urban,Female,0,0,2.721,"800+
(Exceptional)",2.5-3x
41,7.46,9.53,48,707,8,0,Graduate,Business,Rural,Male,0,0,1.277,"670-740
(Very Good)",1-1.5x
22,13.08,21.27,48,794,9,2,Post-Graduate,Salaried,Rural,Female,1,0,1.626,"740-800
(Excellent)",1.5-2x
29,5.0,17.34,48,583,1,2,Post-Graduate,Salaried,Urban,Male,1,0,3.468,"580-670
(Good)",>3x
37,7.54,23.0,36,900,5,2,Graduate,Salaried,Rural,Male,3,0,3.05,"800+
(Exceptional)",>3x
35,4.93,4.11,24,791,14,1,Graduate,Salaried,Urban,Male,1,0,0.834,"740-800
(Excellent)",<1x
33,4.31,8.62,48,699,2,1,Graduate,Business,Urban,Male,1,0,2.0,"670-740
(Very Good)",1.5-2x
44,6.18,3.72,36,695,10,1,Post-Graduate,Salaried,Rural,Male,0,0,0.602,"670-740
(Very Good)",<1x
36,3.97,8.67,48,778,5,1,Post-Graduate,Salaried,Urban,Male,0,0,2.184,"740-800
(Excellent)",2-2.5x
49,5.55,15.64,24,774,2,0,Post-Graduate,Salaried,Urban,Male,2,0,2.818,"740-800
(Excellent)",2.5-3x
55,3.22,2.95,12,734,10,1,Under-Graduate,Salaried,Urban,Female,0,0,0.916,"670-740
(Very Good)",<1x
23,5.35,8.08,60,720,14,2,Under-Graduate,Self-Employed,Semi-Urban,Female,1,0,1.51,"670-740
(Very Good)",1.5-2x
53,7.85,14.86,24,764,12,1,Post-Graduate,Salaried,Urban,Female,2,0,1.893,"740-800
(Excellent)",1.5-2x
44,4.21,15.65,60,580,19,0,Graduate,Salaried,Semi-Urban,Male,1,0,3.717,"500-580
(Fair)",>3x
43,6.03,23.98,60,690,9,0,Post-Graduate,Self-Employed,Rural,Male,2,1,3.977,"670-740
(Very Good)",>3x
46,6.52,4.28,48,588,5,1,Graduate,Self-Employed,Semi-Urban,Male,1,0,0.656,"580-670
(Good)",<1x
43,7.87,24.9,48,768,14,1,Post-Graduate,Business,Urban,Male,0,0,3.164,"740-800
(Excellent)",>3x
43,5.54,9.98,36,665,17,2,Post-Graduate,Salaried,Rural,Male,2,0,1.801,"580-670
(Good)",1.5-2x
27,11.51,21.57,48,594,17,0,Graduate,Business,Urban,Male,2,0,1.874,"580-670
(Good)",1.5-2x
36,1.7,5.34,24,656,6,2,Diploma,Freelance,Urban,Female,0,0,3.141,"580-670
(Good)",>3x
58,34.97,129.9,36,731,14,1,Graduate,Business,Urban,Female,0,0,3.715,"670-740
(Very Good)",>3x
54,3.56,13.63,36,703,17,2,Post-Graduate,Self-Employed,Semi-Urban,Male,0,0,3.829,"670-740
(Very Good)",>3x
29,7.64,19.25,36,626,17,1,Graduate,Salaried,Urban,Male,0,0,2.52,"580-670
(Good)",2.5-3x
26,3.42,5.98,36,583,19,1,Diploma,Freelance,Urban,Female,3,0,1.749,"580-670
(Good)",1.5-2x
60,8.83,28.75,36,725,8,1,Graduate,Salaried,Urban,Male,1,0,3.256,"670-740
(Very Good)",>3x
25,7.08,9.76,36,673,1,1,Graduate,Salaried,Urban,Male,1,1,1.379,"670-740
(Very Good)",1-1.5x
27,4.06,10.05,48,699,7,3,Graduate,Salaried,Semi-Urban,Male,2,0,2.475,"670-740
(Very Good)",2-2.5x
53,11.42,20.04,24,707,19,0,Graduate,Salaried,Rural,Male,1,0,1.755,"670-740
(Very Good)",1.5-2x
51,5.44,15.22,60,754,1,0,Graduate,Freelance,Semi-Urban,Male,0,1,2.798,"740-800
(Excellent)",2.5-3x
56,8.33,11.17,48,787,10,3,Post-Graduate,Self-Employed,Urban,Female,3,0,1.341,"740-800
(Excellent)",1-1.5x
61,3.46,4.05,48,731,6,1,Graduate,Self-Employed,Urban,Female,2,0,1.171,"670-740
(Very Good)",1-1.5x
37,5.89,21.87,36,694,5,1,Graduate,Self-Employed,Rural,Male,2,0,3.713,"670-740
(Very Good)",>3x
34,19.96,17.09,48,721,9,1,Graduate,Salaried,Urban,Male,1,0,0.856,"670-740
(Very Good)",<1x
51,10.69,24.28,12,692,4,0,Under-Graduate,Salaried,Rural,Female,2,0,2.271,"670-740
(Very Good)",2-2.5x
40,7.22,9.19,48,588,10,2,Post-Graduate,Self-Employed,Urban,Male,0,0,1.273,"580-670
(Good)",1-1.5x
38,4.58,2.91,12,807,0,1,Under-Graduate,Self-Employed,Rural,Male,1,0,0.635,"800+
(Exceptional)",<1x
40,6.25,3.91,48,792,1,0,Post-Graduate,Salaried,Urban,Male,3,0,0.626,"740-800
(Excellent)",<1x
49,6.76,7.53,60,879,0,0,Graduate,Business,Urban,Male,0,0,1.114,"800+
(Exceptional)",1-1.5x
47,7.86,27.77,24,900,18,2,Graduate,Salaried,Semi-Urban,Female,2,0,3.533,"800+
(Exceptional)",>3x
58,3.14,4.67,24,625,1,0,Graduate,Salaried,Semi-Urban,Female,1,0,1.487,"580-670
(Good)",1-1.5x
47,8.96,34.29,48,693,19,2,Under-Graduate,Salaried,Urban,Male,0,0,3.827,"670-740
(Very Good)",>3x
44,3.12,7.91,24,900,3,0,Diploma,Salaried,Semi-Urban,Male,2,0,2.535,"800+
(Exceptional)",2.5-3x
30,15.97,32.39,48,716,11,1,Post-Graduate,Business,Semi-Urban,Male,0,0,2.028,"670-740
(Very Good)",2-2.5x
33,3.78,9.56,24,739,19,3,Graduate,Business,Urban,Male,1,1,2.529,"670-740
(Very Good)",2.5-3x
22,7.17,16.55,24,598,17,1,Graduate,Salaried,Urban,Female,0,0,2.308,"580-670
(Good)",2-2.5x
22,10.97,34.62,60,732,0,1,Graduate,Self-Employed,Semi-Urban,Female,3,0,3.156,"670-740
(Very Good)",>3x
55,5.16,7.68,48,874,0,1,Post-Graduate,Self-Employed,Urban,Male,0,0,1.488,"800+
(Exceptional)",1-1.5x
53,7.36,12.77,48,822,13,0,Graduate,Salaried,Semi-Urban,Female,0,1,1.735,"800+
(Exceptional)",1.5-2x
46,14.19,51.5,36,671,3,0,Diploma,Salaried,Urban,Female,0,0,3.629,"670-740
(Very Good)",>3x
61,8.42,32.1,48,688,4,3,Graduate,Freelance,Urban,Female,3,1,3.812,"670-740
(Very Good)",>3x
22,7.43,26.93,36,629,10,2,Diploma,Self-Employed,Urban,Male,2,1,3.624,"580-670
(Good)",>3x
37,2.18,4.29,36,651,12,1,Under-Graduate,Freelance,Semi-Urban,Male,2,1,1.968,"580-670
(Good)",1.5-2x
60,3.43,11.08,48,567,15,0,Under-Graduate,Salaried,Urban,Female,1,0,3.23,"500-580
(Fair)",>3x
26,11.24,24.36,36,713,12,0,Post-Graduate,Self-Employed,Urban,Male,1,0,2.167,"670-740
(Very Good)",2-2.5x
43,8.45,18.94,36,840,1,0,Post-Graduate,Salaried,Urban,Female,0,0,2.241,"800+
(Exceptional)",2-2.5x
50,9.25,11.25,24,748,15,1,Post-Graduate,Salaried,Rural,Female,1,0,1.216,"740-800
(Excellent)",1-1.5x
24,8.78,22.56,48,829,5,2,Post-Graduate,Salaried,Urban,Female,0,0,2.569,"800+
(Exceptional)",2.5-3x
33,13.01,14.98,24,805,13,1,Post-Graduate,Salaried,Semi-Urban,Male,3,1,1.151,"800+
(Exceptional)",1-1.5x
47,5.13,8.52,48,676,0,2,Diploma,Salaried,Urban,Female,2,1,1.661,"670-740
(Very Good)",1.5-2x
37,6.45,22.53,24,659,16,0,Under-Graduate,Salaried,Urban,Male,1,0,3.493,"580-670
(Good)",>3x
58,3.24,3.97,36,662,10,0,Under-Graduate,Salaried,Semi-Urban,Female,0,0,1.225,"580-670
(Good)",1-1.5x
43,2.79,2.09,48,582,18,0,Under-Graduate,Self-Employed,Semi-Urban,Male,2,0,0.749,"580-670
(Good)",<1x
50,2.24,1.66,24,722,2,1,Graduate,Salaried,Rural,Male,0,0,0.741,"670-740
(Very Good)",<1x
35,3.53,13.39,12,487,10,0,Graduate,Salaried,Rural,Female,0,0,3.793,"300-500
(Poor)",>3x
49,15.23,34.64,24,767,4,3,Post-Graduate,Salaried,Semi-Urban,Male,0,0,2.274,"740-800
(Excellent)",2-2.5x
26,2.36,4.56,36,725,16,0,Post-Graduate,Salaried,Semi-Urban,Male,1,0,1.932,"670-740
(Very Good)",1.5-2x
51,5.0,16.69,48,757,6,2,Under-Graduate,Self-Employed,Semi-Urban,Female,2,0,3.338,"740-800
(Excellent)",>3x
26,2.76,9.45,12,804,9,1,Graduate,Salaried,Urban,Male,0,0,3.424,"800+
(Exceptional)",>3x
33,4.18,6.95,48,735,10,3,Post-Graduate,Business,Rural,Male,0,0,1.663,"670-740
(Very Good)",1.5-2x
37,6.64,19.44,36,850,2,1,Post-Graduate,Salaried,Semi-Urban,Male,1,0,2.928,"800+
(Exceptional)",2.5-3x
47,3.94,12.6,36,769,19,3,Graduate,Salaried,Semi-Urban,Female,2,0,3.198,"740-800
(Excellent)",>3x
47,11.54,32.21,60,659,9,0,Post-Graduate,Business,Urban,Female,0,0,2.791,"580-670
(Good)",2.5-3x
42,15.06,15.52,36,700,9,1,Under-Graduate,Self-Employed,Urban,Male,0,0,1.031,"670-740
(Very Good)",1-1.5x
60,1.56,5.56,36,539,13,2,Graduate,Salaried,Rural,Male,3,0,3.564,"500-580
(Fair)",>3x
57,3.98,9.5,12,647,11,0,Post-Graduate,Business,Urban,Male,3,0,2.387,"580-670
(Good)",2-2.5x
54,6.22,9.26,12,689,14,0,Post-Graduate,Salaried,Urban,Male,3,0,1.489,"670-740
(Very Good)",1-1.5x
51,11.79,23.44,24,763,9,1,Graduate,Business,Urban,Male,2,0,1.988,"740-800
(Excellent)",1.5-2x
58,4.57,2.89,12,659,9,3,Graduate,Self-Employed,Rural,Male,0,0,0.632,"580-670
(Good)",<1x
44,5.93,5.62,36,620,18,1,Diploma,Self-Employed,Urban,Male,0,0,0.948,"580-670
(Good)",<1x
31,3.0,9.54,36,568,0,1,Graduate,Freelance,Rural,Male,0,1,3.18,"500-580
(Fair)",>3x
26,2.39,1.2,36,672,9,0,Graduate,Salaried,Urban,Female,0,0,0.502,"670-740
(Very Good)",<1x
57,14.28,27.96,24,876,1,0,Graduate,Self-Employed,Rural,Male,3,0,1.958,"800+
(Exceptional)",1.5-2x
55,2.01,4.68,24,741,16,2,Post-Graduate,Salaried,Semi-Urban,Male,2,0,2.328,"740-800
(Excellent)",2-2.5x
52,24.26,16.77,48,795,6,0,Post-Graduate,Salaried,Urban,Male,2,0,0.691,"740-800
(Excellent)",<1x
31,9.27,36.21,60,647,6,1,Post-Graduate,Salaried,Semi-Urban,Male,0,0,3.906,"580-670
(Good)",>3x
40,9.02,11.65,12,594,19,2,Graduate,Salaried,Urban,Female,3,0,1.292,"580-670
(Good)",1-1.5x
53,8.47,13.25,48,622,8,0,Under-Graduate,Self-Employed,Urban,Female,2,0,1.564,"580-670
(Good)",1.5-2x
22,5.16,8.07,36,712,1,1,Graduate,Self-Employed,Rural,Male,0,0,1.564,"670-740
(Very Good)",1.5-2x
26,7.59,9.92,36,560,13,0,Graduate,Self-Employed,Urban,Male,2,0,1.307,"500-580
(Fair)",1-1.5x
25,5.36,2.71,36,639,16,1,Post-Graduate,Salaried,Urban,Male,0,0,0.506,"580-670
(Good)",<1x
37,8.36,25.52,12,673,0,0,Graduate,Salaried,Urban,Male,0,0,3.053,"670-740
(Very Good)",>3x
45,5.88,22.84,12,614,8,1,Under-Graduate,Business,Urban,Female,2,1,3.884,"580-670
(Good)",>3x
37,3.39,4.36,36,550,19,0,Diploma,Salaried,Rural,Male,2,0,1.286,"500-580
(Fair)",1-1.5x
23,3.56,10.04,36,743,18,1,Graduate,Self-Employed,Urban,Male,0,0,2.82,"740-800
(Excellent)",2.5-3x
49,3.32,10.28,60,723,3,1,Under-Graduate,Business,Rural,Male,0,0,3.096,"670-740
(Very Good)",>3x
53,10.74,37.26,36,782,7,0,Under-Graduate,Business,Rural,Male,3,1,3.469,"740-800
(Excellent)",>3x
48,4.14,8.19,24,631,12,1,Diploma,Salaried,Urban,Female,2,0,1.978,"580-670
(Good)",1.5-2x
41,1.91,2.98,48,780,3,0,Graduate,Business,Urban,Female,2,0,1.56,"740-800
(Excellent)",1.5-2x
45,7.61,12.47,24,842,8,1,Post-Graduate,Salaried,Rural,Female,0,0,1.639,"800+
(Exceptional)",1.5-2x
33,14.89,44.58,36,740,8,0,Graduate,Business,Urban,Male,0,0,2.994,"670-740
(Very Good)",2.5-3x
56,9.54,32.04,48,671,17,1,Under-Graduate,Salaried,Urban,Male,0,0,3.358,"670-740
(Very Good)",>3x
54,4.18,4.75,60,731,11,0,Graduate,Salaried,Urban,Male,0,0,1.136,"670-740
(Very Good)",1-1.5x
54,2.32,4.17,48,667,9,1,Post-Graduate,Salaried,Semi-Urban,Female,0,0,1.797,"580-670
(Good)",1.5-2x
58,5.54,20.26,48,654,10,0,Graduate,Business,Semi-Urban,Male,0,0,3.657,"580-670
(Good)",>3x
33,5.45,18.11,48,774,6,1,Graduate,Salaried,Urban,Male,1,0,3.323,"740-800
(Excellent)",>3x
24,3.35,13.22,60,708,8,0,Post-Graduate,Salaried,Urban,Female,0,0,3.946,"670-740
(Very Good)",>3x
